age,gender,province,urban_rural,household_income,parent_education,attendance,highest_grade,dropout
19,Male,Free State,Urban,10265.23,Primary,Yes,9,0
15,Female,Eastern Cape,Rural,5779.55,Tertiary,Yes,4,0
13,Female,Mpumalanga,Urban,6147.04,Tertiary,Yes,8,0
12,Male,KwaZulu-Natal,Urban,11076.98,Secondary,Yes,8,0
19,Female,Mpumalanga,Urban,8505.65,Secondary,Yes,2,0
18,Male,Western Cape,Urban,3289.56,None,Yes,6,0
18,Female,Free State,Urban,15492.42,Secondary,No,9,0
17,Female,KwaZulu-Natal,Urban,11912.29,Primary,Yes,2,0
19,Male,Free State,Urban,8150.51,Primary,Yes,10,0
16,Female,Limpopo,Rural,6906.0,Tertiary,Yes,4,0
14,Male,Northern Cape,Rural,8794.7,Primary,Yes,7,0
15,Female,KwaZulu-Natal,Urban,10070.08,Secondary,Yes,1,0
19,Male,Mpumalanga,Urban,0.0,Tertiary,Yes,9,0
17,Male,Western Cape,Urban,16449.4,Primary,Yes,10,0
14,Female,Limpopo,Urban,4840.46,Tertiary,Yes,1,0
14,Female,Northern Cape,Rural,7992.38,Tertiary,Yes,5,0
12,Male,Gauteng,Rural,8139.47,Secondary,Yes,7,0
14,Female,Limpopo,Urban,15987.4,Primary,Yes,8,0
16,Female,Western Cape,Urban,7647.5,Primary,Yes,2,0
18,Male,Eastern Cape,Urban,14354.03,Secondary,Yes,4,0
17,Male,KwaZulu-Natal,Rural,9626.91,Primary,Yes,2,0
14,Female,Free State,Rural,4152.46,Primary,Yes,4,0
12,Male,Western Cape,Urban,8538.83,Tertiary,Yes,6,0
16,Male,KwaZulu-Natal,Urban,7525.97,Primary,Yes,6,0
13,Male,Free State,Rural,3663.72,Secondary,Yes,2,0
18,Female,North West,Rural,9430.89,None,Yes,11,0
18,Female,Mpumalanga,Urban,8088.41,Secondary,Yes,4,0
17,Male,Gauteng,Urban,10225.69,Tertiary,Yes,4,0
18,Female,Limpopo,Urban,8773.41,Primary,Yes,1,0
14,Male,Western Cape,Urban,5395.59,Primary,Yes,2,0
12,Female,Gauteng,Urban,11073.34,Secondary,Yes,3,0
18,Male,Eastern Cape,Urban,5502.41,Secondary,Yes,11,0
18,Male,KwaZulu-Natal,Urban,0.0,Secondary,Yes,5,0
13,Female,KwaZulu-Natal,Urban,8514.61,Primary,Yes,11,0
13,Male,Western Cape,Rural,5783.71,Primary,Yes,8,0
15,Female,Northern Cape,Urban,9528.52,Tertiary,Yes,6,0
16,Female,Northern Cape,Urban,15995.49,Tertiary,Yes,3,0
30,Male,North West,Urban,16110.96,Secondary,Yes,6,0
18,Male,Mpumalanga,Urban,7339.51,Tertiary,Yes,7,0
19,Female,Free State,Rural,4693.94,Secondary,Yes,6,0
18,Male,Eastern Cape,Urban,10338.73,Secondary,Yes,10,0
12,Male,Gauteng,Urban,6519.1,Primary,No,5,1
15,Male,Northern Cape,Rural,9567.11,Secondary,Yes,1,0
16,Male,North West,Urban,5356.56,Secondary,Yes,3,0
19,Male,North West,Rural,9002.77,None,Yes,7,0
15,Female,Western Cape,Urban,4752.1,Secondary,Yes,4,0
17,Female,Eastern Cape,Urban,12737.01,Secondary,Yes,4,0
16,Male,Free State,Urban,5640.09,Secondary,No,4,1
18,Male,Mpumalanga,Urban,,,,9,0
18,Male,Limpopo,Rural,2940.93,Tertiary,Yes,11,0
16,Female,Western Cape,Rural,,,,2,0
18,Male,Free State,Urban,4134.46,Secondary,No,6,0
14,Female,Limpopo,Urban,9044.71,Secondary,Yes,3,0
16,Female,Limpopo,Rural,12092.8,Secondary,Yes,6,0
15,Female,Eastern Cape,Rural,7200.07,Primary,Yes,4,0
16,Male,Eastern Cape,Urban,3883.33,Primary,Yes,1,0
19,Female,Gauteng,Urban,9987.25,Tertiary,Yes,9,0
18,Male,North West,Urban,4636.07,Secondary,Yes,11,0
14,Female,Free State,Rural,6383.02,Tertiary,Yes,6,0
14,Male,Western Cape,Urban,9061.85,Secondary,Yes,8,0
17,Female,KwaZulu-Natal,Urban,13442.7,Secondary,Yes,2,0
15,Male,Western Cape,Rural,8106.21,Tertiary,Yes,7,0
13,Female,Gauteng,Urban,8091.43,Secondary,Yes,6,0
13,Male,Mpumalanga,Urban,10950.05,Primary,Yes,8,1
16,Male,North West,Urban,8201.49,Secondary,Yes,2,0
17,Male,KwaZulu-Natal,Urban,10542.12,Tertiary,No,3,1
12,Male,Northern Cape,Urban,12314.13,Primary,No,5,1
16,Female,Mpumalanga,Urban,6689.05,Primary,Yes,3,0
17,Female,Eastern Cape,Urban,0.0,None,Yes,8,0
15,Male,Limpopo,Urban,4728.29,Tertiary,Yes,7,0
15,Female,Northern Cape,Rural,12834.73,None,Yes,2,0
15,Male,Western Cape,Rural,7864.94,Secondary,Yes,3,0
15,Male,Western Cape,Urban,6643.48,Secondary,Yes,10,1
15,Female,Eastern Cape,Urban,1000000.0,Secondary,Yes,9,0
17,Male,Gauteng,Urban,7594.7,Secondary,Yes,5,0
17,Male,Free State,Urban,0.0,None,Yes,2,0
14,Female,Northern Cape,Urban,1978.79,Secondary,No,8,1
19,Male,Northern Cape,Rural,,,,8,0
13,Male,Mpumalanga,Urban,7732.44,Tertiary,No,3,1
18,Male,North West,Urban,13818.63,Primary,Yes,2,0
15,Male,Mpumalanga,Urban,5066.93,Tertiary,No,7,1
12,Female,Free State,Rural,6762.0,Secondary,Yes,6,0
18,Female,Western Cape,Urban,4461.99,Tertiary,Yes,8,0
17,Female,Western Cape,Rural,5917.62,Secondary,Yes,7,0
12,Male,Western Cape,Urban,432.38,Secondary,Yes,4,0
12,Male,Western Cape,Rural,,,,9,1
12,Female,Free State,Rural,7792.52,Tertiary,Yes,9,0
14,Male,Eastern Cape,Urban,7454.68,Secondary,No,2,1
17,Male,North West,Urban,16598.21,Primary,Yes,9,0
12,Male,Free State,Urban,,,,5,0
15,Male,North West,Urban,4996.4,Primary,Yes,11,0
16,Female,Free State,Rural,0.0,Primary,Yes,11,0
12,Female,Western Cape,Rural,,,,7,0
14,Female,Eastern Cape,Rural,9506.04,Tertiary,No,7,1
18,Male,Northern Cape,Rural,,,,7,0
17,Female,Mpumalanga,Urban,4756.1,Secondary,No,8,1
19,Female,Limpopo,Urban,14330.22,Primary,No,2,0
14,Male,Eastern Cape,Rural,1000000.0,Primary,Yes,11,0
12,Male,Northern Cape,Urban,10649.0,None,Yes,6,0
17,Female,Gauteng,Rural,4278.78,Primary,Yes,3,0
16,Female,Free State,Urban,7772.24,Secondary,No,3,1
12,Female,Gauteng,Urban,6654.65,Tertiary,Yes,8,0
14,Female,Northern Cape,Rural,5298.51,Primary,Yes,3,0
13,Male,Eastern Cape,Urban,12621.2,Secondary,Yes,5,0
15,Female,Free State,Rural,2444.49,Secondary,Yes,9,0
19,Female,Limpopo,Rural,9200.23,Tertiary,Yes,11,0
18,Male,Western Cape,Rural,6579.51,Secondary,No,1,0
14,Female,Free State,Rural,9659.3,Secondary,Yes,7,0
17,Male,Free State,Urban,6633.69,Secondary,Yes,11,1
19,Male,Eastern Cape,Rural,11468.77,Tertiary,Yes,7,0
19,Male,Eastern Cape,Urban,4241.19,None,Yes,5,0
19,Female,Northern Cape,Urban,12630.21,Secondary,Yes,2,0
12,Female,KwaZulu-Natal,Rural,7884.79,Tertiary,Yes,5,0
15,Male,Free State,Urban,,,,6,1
12,Female,Mpumalanga,Urban,10720.86,Secondary,Yes,7,0
17,Female,Free State,Urban,7204.6,Secondary,Yes,4,0
12,Male,Northern Cape,Urban,1168.65,Primary,Yes,1,0
13,Male,North West,Rural,9329.87,Secondary,Yes,6,0
15,Female,Gauteng,Urban,12026.38,Secondary,Yes,3,0
15,Male,Western Cape,Rural,,,,11,0
17,Female,KwaZulu-Natal,Rural,6486.59,Secondary,Yes,5,0
18,Female,Limpopo,Rural,8581.27,Tertiary,Yes,4,0
13,Female,Limpopo,Urban,8202.15,Primary,No,9,1
14,Female,Limpopo,Rural,13959.21,Secondary,Yes,7,0
12,Male,Eastern Cape,Urban,4758.05,Secondary,Yes,5,0
16,Male,Limpopo,Rural,6141.36,Secondary,Yes,7,0
12,Male,Western Cape,Urban,4661.12,Primary,No,4,1
19,Male,Gauteng,Rural,2203.4,Secondary,Yes,4,0
12,Female,Limpopo,Rural,8991.15,Tertiary,No,7,1
14,Female,Free State,Urban,14405.19,Secondary,Yes,9,0
12,Male,Free State,Urban,7206.06,Tertiary,Yes,10,0
13,Female,Eastern Cape,Rural,4472.41,Tertiary,Yes,11,0
13,Female,Western Cape,Urban,8747.44,Primary,Yes,4,0
15,Female,Gauteng,Rural,10356.47,Primary,Yes,5,0
17,Male,KwaZulu-Natal,Urban,7374.55,Tertiary,Yes,5,0
18,Male,Northern Cape,Urban,,,,1,0
16,Male,Gauteng,Rural,4750.55,None,No,7,1
19,Female,Northern Cape,Rural,6852.12,None,Yes,4,0
12,Male,North West,Rural,9183.95,Primary,Yes,7,0
12,Male,Northern Cape,Urban,9571.86,Tertiary,Yes,11,0
14,Male,Mpumalanga,Rural,8188.91,Primary,Yes,5,0
17,Male,Free State,Urban,2886.32,Secondary,Yes,6,0
13,Male,Western Cape,Rural,17352.05,Tertiary,No,8,1
16,Male,Eastern Cape,Rural,7056.12,None,No,2,1
15,Female,Mpumalanga,Urban,8441.07,Secondary,Yes,10,0
13,Female,Northern Cape,Urban,10467.04,Primary,Yes,5,0
19,Male,Limpopo,Urban,5453.98,Tertiary,Yes,5,0
17,Male,Western Cape,Rural,8227.71,Primary,Yes,9,0
19,Female,Mpumalanga,Urban,1000000.0,Secondary,Yes,8,0
18,Female,Eastern Cape,Rural,9662.2,Secondary,Yes,4,0
15,Male,Free State,Urban,6895.91,Primary,Yes,7,0
18,Male,Western Cape,Rural,9074.87,None,Yes,8,0
14,Male,Eastern Cape,Rural,3813.85,Secondary,Yes,9,0
19,Male,North West,Urban,4684.33,Primary,Yes,5,0
14,Female,North West,Urban,2539.44,Tertiary,No,7,1
12,Male,Eastern Cape,Urban,5157.88,Tertiary,Yes,4,0
18,Male,Mpumalanga,Rural,0.0,Secondary,Yes,10,0
17,Male,Western Cape,Rural,6771.6,Secondary,Yes,6,0
19,Male,Mpumalanga,Urban,5863.04,Secondary,Yes,10,0
16,Female,KwaZulu-Natal,Rural,8603.64,Tertiary,Yes,11,0
15,Female,Northern Cape,Urban,8178.43,Secondary,No,5,1
13,Female,KwaZulu-Natal,Urban,13028.32,Primary,Yes,9,0
17,Male,North West,Rural,,,,2,1
17,Male,Free State,Urban,12550.16,Secondary,Yes,11,0
14,Female,Gauteng,Urban,6187.57,Secondary,Yes,3,0
18,Male,Northern Cape,Urban,6026.44,Secondary,No,4,0
19,Male,North West,Urban,11474.65,None,Yes,6,0
19,Female,Mpumalanga,Urban,1266.62,Secondary,No,3,0
12,Female,Mpumalanga,Urban,6739.19,Primary,Yes,5,0
12,Female,Mpumalanga,Rural,7047.39,Primary,No,3,1
15,Female,Free State,Urban,10336.53,Secondary,Yes,3,0
14,Male,KwaZulu-Natal,Urban,10455.47,Primary,Yes,3,0
17,Male,Gauteng,Urban,5021.76,Secondary,Yes,4,0
19,Female,Mpumalanga,Urban,6342.51,Primary,Yes,10,0
16,Male,Northern Cape,Rural,9780.42,Secondary,No,8,1
14,Female,Western Cape,Rural,4804.32,Secondary,Yes,5,0
15,Female,Gauteng,Urban,12824.47,Primary,Yes,1,0
15,Male,Free State,Rural,10436.7,Primary,Yes,6,0
14,Female,Gauteng,Urban,8686.04,Tertiary,Yes,9,0
15,Male,Western Cape,Urban,9563.76,Secondary,Yes,11,0
14,Male,Northern Cape,Urban,6132.44,Secondary,Yes,1,0
13,Male,Western Cape,Urban,5494.83,None,No,5,1
14,Male,Eastern Cape,Urban,6301.11,Secondary,Yes,8,0
18,Female,Northern Cape,Rural,9999.87,Secondary,Yes,3,0
14,Male,Gauteng,Urban,8804.06,Secondary,Yes,9,0
15,Female,Mpumalanga,Rural,6309.14,Secondary,Yes,11,0
19,Female,Gauteng,Urban,10998.33,Primary,Yes,11,0
18,Female,Gauteng,Urban,7304.21,Primary,Yes,8,0
15,Female,Northern Cape,Rural,5226.76,Tertiary,Yes,3,0
12,Male,Eastern Cape,Urban,9017.37,Tertiary,No,1,1
12,Male,Gauteng,Urban,,,,5,0
19,Female,North West,Rural,,,,3,0
19,Female,Limpopo,Rural,7979.58,Primary,Yes,5,0
18,Male,Limpopo,Rural,5370.34,None,Yes,9,0
13,Female,Gauteng,Rural,6983.38,Primary,Yes,4,0
19,Male,Mpumalanga,Rural,4133.07,Primary,No,4,0
12,Female,Free State,Rural,12835.73,Secondary,Yes,3,0
14,Male,Free State,Urban,5354.03,Secondary,Yes,3,0
15,Female,Northern Cape,Urban,6272.0,Primary,Yes,5,0
12,Female,Limpopo,Urban,,,,8,0
12,Male,Gauteng,Urban,2493.54,Tertiary,No,3,1
13,Female,Free State,Rural,2197.8,Primary,Yes,3,0
18,Female,Gauteng,Rural,9523.81,Secondary,Yes,8,0
18,Male,Northern Cape,Urban,6220.21,Primary,Yes,11,0
17,Female,Limpopo,Urban,,,,8,0
13,Male,Western Cape,Rural,10413.49,Primary,Yes,3,0
14,Male,North West,Urban,,,,10,0
18,Female,North West,Rural,6901.95,Primary,Yes,10,0
15,Female,Free State,Urban,4415.48,Primary,Yes,2,0
19,Female,North West,Urban,9213.75,Secondary,Yes,10,0
13,Female,Western Cape,Urban,13328.3,Secondary,Yes,2,0
19,Female,Gauteng,Urban,555.84,Primary,No,6,0
12,Female,Northern Cape,Rural,,,,7,0
15,Female,Western Cape,Rural,11426.35,Secondary,No,2,1
15,Male,Northern Cape,Rural,6314.09,Secondary,Yes,7,0
12,Female,Northern Cape,Urban,3475.83,Tertiary,No,3,1
13,Male,Limpopo,Urban,9683.85,Secondary,Yes,1,0
12,Female,Gauteng,Rural,12006.61,Secondary,Yes,8,0
19,Female,North West,Rural,11562.09,Secondary,Yes,3,0
17,Male,Limpopo,Urban,9463.64,Tertiary,Yes,3,0
5,Female,Northern Cape,Urban,,,,6,0
16,Female,Free State,Rural,,,,4,0
16,Male,North West,Urban,11460.98,Primary,No,9,1
19,Female,North West,Urban,11239.83,Primary,Yes,4,0
14,Female,Gauteng,Urban,3447.77,Secondary,Yes,10,0
18,Female,Eastern Cape,Urban,9457.92,Secondary,Yes,9,0
12,Male,KwaZulu-Natal,Rural,10611.3,Secondary,Yes,8,0
12,Female,KwaZulu-Natal,Rural,11528.46,None,Yes,3,0
14,Female,KwaZulu-Natal,Urban,7700.04,Secondary,Yes,1,0
14,Female,Eastern Cape,Urban,4569.73,Tertiary,Yes,1,0
19,Female,Gauteng,Urban,5991.54,Primary,Yes,1,0
19,Male,Eastern Cape,Urban,,,,8,0
14,Male,KwaZulu-Natal,Urban,7795.76,Secondary,Yes,6,0
15,Female,Limpopo,Rural,7012.46,Tertiary,No,6,1
19,Female,Western Cape,Urban,16580.15,Tertiary,Yes,11,0
17,Male,Northern Cape,Urban,11578.71,Secondary,Yes,11,0
19,Male,Eastern Cape,Urban,11878.19,Secondary,Yes,3,0
12,Female,Gauteng,Urban,9885.41,Tertiary,Yes,8,0
19,Male,Gauteng,Urban,6530.73,Secondary,Yes,8,0
15,Female,Western Cape,Urban,6898.44,Primary,Yes,6,0
14,Male,Free State,Rural,7264.52,Secondary,Yes,9,0
12,Male,North West,Urban,8752.93,Primary,Yes,10,0
19,Male,KwaZulu-Natal,Urban,9556.68,Primary,No,6,0
15,Male,Free State,Rural,8002.83,Tertiary,Yes,8,0
17,Female,KwaZulu-Natal,Rural,6837.61,Secondary,Yes,6,0
19,Male,Western Cape,Urban,5623.54,Secondary,Yes,1,0
15,Male,KwaZulu-Natal,Rural,2429.4,Primary,Yes,4,0
17,Female,Western Cape,Urban,13133.52,Primary,Yes,5,0
14,Male,Mpumalanga,Urban,16822.12,Primary,Yes,7,0
19,Male,Free State,Urban,12797.35,Primary,Yes,8,0
17,Female,Free State,Rural,2963.74,Secondary,No,8,1
12,Male,North West,Rural,11148.07,Primary,Yes,6,0
14,Female,Western Cape,Urban,12095.11,Secondary,Yes,10,0
12,Female,Eastern Cape,Urban,6386.25,Primary,Yes,9,0
16,Female,Mpumalanga,Rural,9955.71,Tertiary,Yes,4,0
13,Female,Limpopo,Urban,6174.79,Primary,Yes,8,0
19,Male,KwaZulu-Natal,Urban,14115.72,None,Yes,3,0
17,Female,Mpumalanga,Rural,9461.48,None,Yes,4,0
13,Male,Western Cape,Rural,4331.38,Secondary,Yes,10,0
13,Male,Northern Cape,Rural,10679.23,Secondary,Yes,4,0
17,Male,KwaZulu-Natal,Rural,12235.12,Secondary,Yes,6,0
14,Male,Gauteng,Urban,8792.53,Secondary,Yes,9,0
19,Male,Free State,Rural,9917.77,None,Yes,6,0
16,Male,Western Cape,Rural,7720.99,Secondary,Yes,1,0
12,Male,Gauteng,Urban,3462.88,Secondary,Yes,5,0
15,Male,North West,Urban,7393.06,Primary,No,8,1
12,Male,Limpopo,Urban,10092.16,Primary,No,5,1
15,Male,Limpopo,Urban,,,,6,0
12,Female,Gauteng,Rural,11203.06,Primary,Yes,3,0
17,Female,Free State,Rural,6431.27,Secondary,Yes,8,0
16,Female,North West,Urban,6693.64,Primary,Yes,10,0
19,Male,Northern Cape,Urban,11324.48,Primary,Yes,11,0
